,0
Paolo Banchero,10.112428812964936
Chet Holmgren,18.891519314768516
Azuolas Tubelis,20.05533107992163
Kofi Cockburn,21.09362928222761
Bennedict Mathurin,22.487036951615153
Jabari Smith,23.141658769247286
Mark Williams,23.730162775397332
Drew Timme,24.545279174545627
Orlando Robinson,25.46157553544313
Zach Edey,26.04729096188366
Bryce McGowens,27.620517570024575
Trevor Keels,28.065711137637905
Jalen Duren,28.61719113177783
Christian Koloko,29.06641658869904
Ochai Agbaji,29.185986036836553
Harrison Ingram,29.87807480672113
Moussa Diabate,30.295005882687406
Daimion Collins,30.327457171020683
Tevin Brown,30.94176561315993
Taevion Kinsey,31.247665122478352
EJ Liddell,31.318688661518777
Keegan Murray,31.39811183576778
Christian Braun,31.744334610124383
Blake Wesley,32.60566105361677
Trevion Williams,32.82571813505956
AJ Griffin,32.916466458633764
Max Christie,33.8602692993521
Isaiah Mobley,34.276152514982016
David Roddy,34.413100895451294
Kennedy Chandler,34.636429397398416
Jabari Walker,35.36846918696274
Caleb Houstan,35.38089371392839
Justin Lewis,35.51069130567129
Kendall Brown,35.6073721370672
Peyton Watson,36.321382580448144
Hyunjung Lee,37.42251929189263
Marcus Bagley,37.70069350805177
Mike Miles,37.800891675733936
Iverson Molinar,38.88304585317226
Jeremy Sochan,39.02887472119056
Darius Days,39.03399360463064
Tyler Burton,40.257458525175636
Pete Nance,40.27453671421739
Andre Curbelo,40.625376497085966
Allen Flanigan,42.20177000993917
Matthew Mayer,42.63953850672618
