,Point,Assist,Rebound,Turnover,Start Ratio,MP,FGA,FGP,3PA,3PP,FTA,FTP,Steal,Block,Height,Weight,Position,College Name,Pick
0,21.4,2.9,5.3,2.3,0.98989898989899,37.2,16.6,0.452,8.4,0.422,3.6,0.777,1.5,0.5,203.0,103.0,Forward,Georgia Tech,4.0
1,8.7,0.7,5.2,1.5,0.29850746268656714,18.4,4.9,0.628,0.0,0.0,3.9,0.676,0.4,1.0,213.0,120.0,Center,Louisville,6.0
2,15.3,1.7,6.0,2.4,0.8389830508474576,28.4,10.7,0.511,1.8,0.378,4.8,0.749,0.9,0.7,203.0,95.0,Forward,Minnesota,9.0
3,15.9,1.0,10.9,2.7,0.7301587301587301,30.9,10.3,0.579,0.0,0.0,5.7,0.692,0.8,0.5,206.0,108.0,Forward,Xavier,11.0
4,14.5,0.9,7.3,2.2,0.0,28.1,10.0,0.499,0.3,0.417,5.9,0.763,0.6,0.4,211.0,104.0,Center,Georgia,12.0
5,10.8,0.7,7.4,1.3,0.5447761194029851,22.0,7.5,0.617,0.0,0.333,2.1,0.752,0.5,0.6,206.0,104.0,Forward,Michigan,13.0
6,18.4,2.3,4.8,3.0,0.20967741935483872,35.0,13.8,0.442,5.4,0.37,5.6,0.746,1.3,0.2,188.0,86.0,Guard,Texas,14.0
7,16.6,1.5,7.7,2.8,0.9830508474576272,32.1,12.7,0.525,0.6,0.389,4.0,0.756,0.6,0.8,208.0,107.0,Forward,Maryland,17.0
8,7.2,0.4,6.0,0.9,0.4,25.3,5.5,0.504,0.0,0.0,2.7,0.624,0.6,2.7,213.0,108.0,Center,Temple,18.0
9,9.7,5.3,3.3,2.3,0.484375,31.5,7.7,0.448,0.9,0.322,3.3,0.773,1.6,0.2,196.0,86.0,Guard,UConn,22.0
10,14.8,2.3,7.5,2.6,0.5909090909090909,31.6,12.8,0.494,0.2,0.158,2.9,0.729,0.6,2.5,216.0,117.0,Center,Florida,24.0
11,8.5,0.4,3.7,1.0,0.4253731343283582,14.8,5.6,0.599,0.0,0.0,2.5,0.728,0.4,0.5,208.0,108.0,Forward,Duke,25.0
12,14.6,4.2,4.8,2.5,0.889763779527559,34.8,10.4,0.516,2.1,0.385,4.1,0.742,1.1,0.1,193.0,95.0,Guard,Georgia Tech,32.0
13,12.2,3.6,2.4,2.1,0.9280575539568345,28.6,8.9,0.487,2.7,0.406,3.0,0.774,1.4,0.2,190.0,81.0,Guard,Kansas,34.0
14,14.3,2.4,7.9,2.7,0.7380952380952381,29.8,11.2,0.498,0.1,0.167,5.2,0.587,0.8,0.3,201.0,95.0,Forward,UCLA,36.0
15,8.7,2.0,4.9,1.5,0.5648854961832062,22.4,6.1,0.547,0.8,0.381,2.3,0.743,0.9,0.3,198.0,99.0,Guard,Arizona,38.0
16,10.5,0.7,4.9,1.1,0.5454545454545454,22.2,5.4,0.685,0.0,0.0,4.1,0.75,0.3,0.2,206.0,113.0,Center,Purdue,39.0
17,21.6,4.8,3.9,3.0,0.6434782608695652,33.2,17.6,0.429,4.0,0.324,6.9,0.748,1.9,0.2,185.0,81.0,Guard,Virginia Tech,40.0
18,7.0,3.8,4.3,2.0,0.6976744186046512,26.3,5.6,0.439,1.0,0.455,2.4,0.701,1.0,0.3,196.0,86.0,Guard,Illinois,41.0
19,13.0,4.6,2.4,2.3,0.1732283464566929,35.2,9.4,0.442,4.2,0.447,3.2,0.9,1.5,0.1,180.0,80.0,Guard,Kansas State,44.0
20,13.4,0.7,8.4,2.2,0.6458333333333334,27.4,7.7,0.573,0.0,0.0,5.8,0.802,0.8,0.6,203.0,99.0,Forward,Xavier,47.0
21,14.8,4.1,4.1,2.9,0.45614035087719296,32.4,10.4,0.521,1.1,0.43,4.5,0.785,1.7,0.5,190.0,83.0,Guard,Marquette,51.0
22,23.0,7.0,5.6,3.9,0.9846153846153847,38.3,18.2,0.473,4.6,0.374,5.1,0.787,2.6,0.1,183.0,76.0,Guard,Georgia Tech,2.0
23,17.9,3.7,8.8,2.6,1.0,35.1,13.6,0.505,1.5,0.325,5.4,0.682,2.1,0.9,203.0,99.0,Forward,Syracuse,3.0
24,9.9,0.8,8.6,1.7,0.25,23.6,5.7,0.644,0.0,0.0,3.9,0.641,0.4,3.7,218.0,111.0,Center,Georgetown,4.0
25,18.5,3.7,6.1,3.1,0.45081967213114754,34.4,13.9,0.487,2.9,0.416,5.0,0.756,0.9,0.3,201.0,90.0,Guard,Michigan State,5.0
26,17.1,2.5,8.2,2.6,0.6484375,29.4,13.7,0.51,0.2,0.174,4.0,0.747,1.4,1.0,208.0,99.0,Forward,Missouri,6.0
27,20.7,2.8,5.6,1.8,0.5079365079365079,37.5,18.4,0.423,5.2,0.374,4.1,0.779,2.2,0.1,193.0,83.0,Guard,Temple,8.0
28,22.2,5.5,3.6,3.6,0.49122807017543857,38.2,16.8,0.484,3.7,0.38,5.5,0.81,2.0,0.1,180.0,81.0,,Oregon,11.0
29,13.6,0.7,10.0,1.6,0.8016528925619835,28.9,8.9,0.588,0.0,0.0,5.4,0.59,0.9,1.7,211.0,104.0,ouble D),Clemson,13.0
30,11.9,1.8,6.1,2.2,0.6048387096774194,23.6,8.1,0.564,0.0,0.4,4.1,0.676,0.5,1.5,218.0,117.0,Center,Nebraska,14.0
31,17.0,1.1,7.3,1.9,0.7567567567567568,26.6,11.5,0.611,0.0,0.0,4.8,0.635,0.7,1.1,206.0,120.0,Center,Iowa State,17.0
32,19.8,1.7,6.2,2.3,0.49137931034482757,37.4,14.6,0.522,3.1,0.409,4.2,0.774,0.6,0.4,198.0,90.0,Forward,Louisiana,18.0
33,17.3,4.2,4.3,2.8,0.17094017094017094,31.2,13.5,0.435,4.1,0.354,5.2,0.784,3.2,0.3,185.0,86.0,Guard,Providence,21.0
34,12.2,2.3,4.2,2.4,0.5857142857142857,22.7,8.7,0.518,2.8,0.388,2.7,0.757,1.4,0.3,201.0,104.0,Forward,UNC,24.0
35,12.3,1.6,5.5,1.8,0.7878787878787878,23.5,7.9,0.62,0.0,0.167,4.0,0.651,0.8,0.2,203.0,106.0,Forward,Kansas,26.0
36,8.2,1.3,5.5,1.6,0.55,22.7,6.5,0.534,0.4,0.345,1.7,0.71,0.8,0.6,208.0,104.0,,UNC,27.0
37,11.4,2.5,3.1,1.8,0.5462184873949579,26.8,9.3,0.469,2.5,0.393,2.1,0.784,1.1,0.2,196.0,88.0,Guard,Minnesota,28.0
38,20.6,2.4,4.0,2.1,0.7419354838709677,32.2,15.6,0.457,6.0,0.436,4.4,0.836,0.9,0.2,190.0,83.0,Guard,NC State,30.0
39,16.0,1.0,7.2,2.5,0.6209677419354839,31.7,11.9,0.551,0.2,0.545,3.9,0.72,0.6,1.5,208.0,115.0,Center,Creighton,32.0
40,11.5,8.4,2.1,3.2,0.9032258064516129,33.0,7.9,0.463,2.5,0.408,3.8,0.822,2.6,0.1,183.0,83.0,Guard,NC State,36.0
41,10.7,2.5,3.1,1.6,0.4888888888888889,25.5,8.0,0.465,3.4,0.406,2.4,0.751,0.5,0.3,196.0,92.0,Guard,Purdue,39.0
42,14.6,5.5,3.4,2.7,0.6747967479674797,35.0,11.4,0.486,3.1,0.378,2.8,0.814,2.3,0.0,190.0,86.0,Guard,La Salle,40.0
43,15.9,2.1,6.5,3.2,0.8714285714285714,29.5,12.8,0.501,0.4,0.192,4.4,0.685,1.9,0.9,201.0,90.0,Forward,Oklahoma State,46.0
44,21.9,3.2,4.3,3.9,0.9642857142857143,33.4,20.1,0.379,9.0,0.331,5.6,0.656,1.6,0.5,188.0,77.0,Guard,Oral Roberts,49.0
45,16.6,1.8,7.8,2.7,0.8648648648648649,27.4,9.8,0.574,1.1,0.485,6.0,0.806,1.6,1.0,211.0,106.0,Center,Duke,3.0
46,16.2,3.9,4.6,3.6,0.819047619047619,30.4,11.9,0.466,4.1,0.359,4.8,0.762,1.7,0.8,203.0,99.0,,Maryland,7.0
